ad_left_x,ad_left_y,ad_left_yaw,ad_left_spdms,ad_left_curv,ad_right_x,ad_right_y,ad_right_yaw,ad_right_spdms,ad_right_curv
402.068048157047,-239.663878926158,0.0259341496011357,11.1111111111111,0,402.165290316673,-243.412617909122,0.0259341496011357,11.1111111111111,0
403.178785633481,-239.635066434418,0.0259341496011357,11.1111111111111,0,403.276027793106,-243.383805417381,0.0259341496011357,11.1111111111111,0
404.289523109915,-239.606253942677,0.025934149601137,11.1111111111111,0,404.38676526954,-243.35499292564,0.025934149601137,11.1111111111111,0
405.400260586348,-239.577441450936,0.0259341496011101,11.1111111111111,0,405.497502745974,-243.3261804339,0.0259341496011101,11.1111111111111,0
406.510998062782,-239.548628959195,0.025934149601137,11.1111111111111,0,406.608240222407,-243.297367942159,0.0259341496011626,11.1111111111111,0
407.621735539216,-239.519816467455,0.0259341496011626,11.1111111111111,0,407.718977698841,-243.268555450418,0.025934149601137,11.1111111111111,0
408.732473015649,-239.491003975714,0.0259341496011101,11.1111111111111,0,408.829715175275,-243.239742958677,0.0259341496011101,11.1111111111111,0
409.843210492083,-239.462191483973,0.025934149601137,11.1111111111111,0,409.940452651708,-243.210930466937,0.025934149601137,11.1111111111111,0
410.953947968517,-239.433378992232,0.0259341496011357,11.1111111111111,0,411.051190128142,-243.182117975196,0.0259341496011357,11.1111111111111,0
412.064685444951,-239.404566500492,0.025934149601137,11.1111111111111,0,412.161927604576,-243.153305483455,0.025934149601137,11.1111111111111,0
413.175422921384,-239.375754008751,0.0259341496011357,11.1111111111111,0,413.272665081009,-243.124492991715,0.0259341496011357,11.1111111111111,0
414.286160397818,-239.34694151701,0.025934149601137,11.1111111111111,0,414.383402557443,-243.095680499974,0.025934149601137,11.1111111111111,0
415.396897874252,-239.318129025269,0.0259341496011114,11.1111111111111,0,415.494140033877,-243.066868008233,0.0259341496011114,11.1111111111111,0
416.507635350685,-239.289316533529,0.0259341496011357,11.1111111111111,0,416.60487751031,-243.038055516492,0.0259341496011612,11.1111111111111,0
417.618372827119,-239.260504041788,0.0259341496011626,11.1111111111111,0,417.715614986744,-243.009243024751,0.025934149601137,11.1111111111111,0
418.729110303553,-239.231691550047,0.0259341496011101,11.1111111111111,0,418.826352463178,-242.980430533011,0.0259341496011101,11.1111111111111,0
419.839847779986,-239.202879058306,0.025934149601137,11.1111111111111,0,419.937089939611,-242.95161804127,0.025934149601137,11.1111111111111,0
420.95058525642,-239.174066566566,0.0259341496011626,11.1111111111111,0,421.047827416045,-242.922805549529,0.0259341496011626,11.1111111111111,0
422.061322732854,-239.145254074825,0.0259341496011101,11.1111111111111,0,422.158564892479,-242.893993057788,0.0259341496011101,11.1111111111111,0
423.172060209287,-239.116441583084,0.025934149601137,11.1111111111111,0,423.269302368912,-242.865180566048,0.025934149601137,11.1111111111111,0
424.282797685721,-239.087629091343,0.025934149601137,11.1111111111111,0,424.380039845346,-242.836368074307,0.025934149601137,11.1111111111111,0
