iteration,expert feature,trajectory feature,feature norm,weights,cal_expert_idx,expert likeness,mean expert likeness,likelihood
11,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29179593 0.22827673 0.02598316 0.02518364 0.16015534 0.83178036
 0.00189771 0.12159059 0.00213032 0.13388788]",0.24430818575897367,"[-0.4366619  -0.50026285 -0.48369376 -0.43156118 -0.45306734  0.47553957
 -0.48450299 -0.5539559  -0.5364984  -0.52567823]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.613666051370544
12,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29164033 0.22816302 0.02395884 0.0246063  0.15789065 0.8318523
 0.00184778 0.11985858 0.0020635  0.13186362]",0.24057969221197717,"[-0.4787566  -0.54069691 -0.52843002 -0.47974713 -0.50206819  0.51762537
 -0.52906643 -0.60293933 -0.58087737 -0.57460893]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 6.0087556278734904e-05]",0.07267604260650401,-4.595052688819498
13,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.291491   0.22805372 0.02200853 0.02404911 0.15568893 0.83192003
 0.00180076 0.11817625 0.00200056 0.12989541]",0.23696896616452806,"[-0.51925479 -0.57912499 -0.5721732  -0.52763202 -0.5509063   0.55816777
 -0.57260888 -0.65175691 -0.62420832 -0.62336437]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 6.0087556278734904e-05]",0.07267604260650401,-4.576955683473829
14,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29134789 0.22794882 0.02013282 0.02351168 0.15354958 0.83198369
 0.00175655 0.11654353 0.00194136 0.12798309]",0.23347467793129353,"[-0.5579878  -0.61532243 -0.61483325 -0.57519723 -0.59957228  0.59701947
 -0.6150386  -0.7003991  -0.66639942 -0.67193423]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 6.0087556278734904e-05]",0.07267604260650401,-4.559361322266026
15,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29121097 0.22784832 0.01833205 0.02299358 0.1514718  0.83204345
 0.00171504 0.11496024 0.00188576 0.1261263 ]",0.23009510924137241,"[-0.59478728 -0.64906685 -0.65632122 -0.6224253  -0.64805741  0.63403655
 -0.65626515 -0.7488571  -0.70736058 -0.72030892]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 6.0087556278734904e-05]",0.07267604260650401,-4.54225520013056
16,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29108018 0.2277522  0.01660632 0.02249433 0.1494546  0.83209945
 0.00167612 0.11342598 0.00183361 0.12432451]",0.22682818518395656,"[-0.6294877  -0.68014326 -0.69654998 -0.66929995 -0.69635369  0.66908079
 -0.69620011 -0.79712287 -0.74700425 -0.76847965]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  50,  65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.00010983521548433119, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 6.0087556278734904e-05]",0.06200181139283559,-4.52562231987648
17,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29095543 0.2276604  0.01495549 0.02201341 0.14749683 0.83215189
 0.00163968 0.11194026 0.00178477 0.12257703]",0.2236715081204075,"[-0.66192915 -0.70834975 -0.73543495 -0.71580614 -0.74445381  0.70202203
 -0.73475797 -0.84518914 -0.78524626 -0.81643836]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  50,  65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.00010983521548433119, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 6.0087556278734904e-05]",0.06200181139283559,-4.509447196582715
18,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29083663 0.22757289 0.01337919 0.02155028 0.14559715 0.83220091
 0.0016056  0.11050242 0.00173907 0.12088301]",0.2206223931944756,"[-0.69196032 -0.73350323 -0.77289484 -0.76193003 -0.79235117  0.73274055
 -0.77185692 -0.89304942 -0.8220066  -0.86417777]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  50,  65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.00010983521548433119, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 6.0087556278734904e-05]",0.06200181139283559,-4.49371396567056
19,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29072367 0.22748961 0.01187681 0.02110436 0.14375412 0.8322467
 0.00157376 0.10911167 0.00169636 0.11924146]",0.21767790507382476,"[-0.71944153 -0.75544502 -0.8088524  -0.80765899 -0.84003982  0.76112934
 -0.80741972 -0.94069796 -0.85721022 -0.91169141]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  50,  65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.00010983521548433119, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 6.0087556278734904e-05]",0.06200181139283559,-4.478406493581917
20,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29061643 0.22741047 0.01044752 0.02067504 0.14196616 0.83228943
 0.00154405 0.10776712 0.00165649 0.11765128]",0.2148348955371891,"[-0.74424764 -0.7740459  -0.84323509 -0.85298161 -0.88751453  0.78709629
 -0.84137456 -0.9881298  -0.89078787 -0.95897351]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  50,  65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.00010983521548433119, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 6.0087556278734904e-05]",0.06200181139283559,-4.463508489722776
