iteration,expert feature,trajectory feature,feature norm,weights,cal_expert_idx,expert likeness,mean expert likeness,likelihood
1,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.72471741e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29368797 0.22964616 0.04999389 0.03210132 0.18622301 0.83080231
 0.00257496 0.1415233  0.00303571 0.15709986]",0.28794582187369466,"[ 0.03820263 -0.02999213 -0.0010631   0.06204466  0.0433779   0.00113609
 -0.00249554 -0.05756786 -0.05516093 -0.02947007]","[array([ 0, 11, 88]), array([ 0, 11, 88]), array([ 0, 11, 88]), array([ 0, 11, 88]), array([  0, 110,  99]), array([  0, 110,  99]), array([  0, 110,  99]), array([  0, 110,  99]), array([  0, 110,  99]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([10,  0, 66]), array([10,  0, 66])]","[0.6499165278699922, 0.6441087224092825, 0.6366960778682945, 0.632677067158548, 0.6182457376033098, 0.6050584771185878, 0.5929524558590276, 0.5783860980847495, 0.5682027744237241, 0.5476132929070512, 0.5281983833367926, 0.5069086888721567, 0.48423068814598375, 0.4530862552148013, 0.4182658501518284]",0.5643031398016087,-4.830550935846928
2,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.72471741e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29347267 0.22949149 0.04731518 0.03131653 0.18335003 0.83092255
 0.00249184 0.13933222 0.00292466 0.15455255]",0.28306876186303537,"[-0.01167204 -0.0798509  -0.05096989  0.012084   -0.00659978  0.0510045
 -0.05206547 -0.10754528 -0.10505935 -0.07944645]","[array([ 0, 44, 99]), array([ 0, 44, 99]), array([ 0, 44, 99]), array([ 0, 33, 99]), array([31, 32, 21]), array([20, 32,  9]), array([32, 31, 21]), array([32, 31,  9]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([19, 40, 41])]","[0.6499165278699922, 0.6441087224092825, 0.6366960778682945, 0.632677067158548, 0.4687576514421663, 0.4651940845796904, 0.46161737147823567, 0.45583991139347835, 0.44095147848202076, 0.439290709101739, 0.4278785500926969, 0.4146772286549654, 0.4012568894956963, 0.38244777808363595, 0.24419957561633515]",0.4777006415817851,-4.806231427975501
3,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.72471741e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29326283 0.22934045 0.04469116 0.03055185 0.18053228 0.83103753
 0.00241231 0.13718117 0.0028184  0.15205122]",0.2782966976875935,"[-0.06132743 -0.12946004 -0.10071621 -0.03781106 -0.05654042  0.10064425
 -0.10079362 -0.1574852  -0.15478356 -0.12938356]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 65, 62]), array([75, 87, 65]), array([121,  72,  96]), array([75, 64, 51]), array([75, 64, 51]), array([75, 76, 74]), array([75, 76, 74]), array([75, 76, 74]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.002941842900750619, 0.0031217095788454515, 0.15920028992544918, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.09202915621194059,-4.782509997808885
4,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.72471741e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29305865 0.22919321 0.04212464 0.0298077  0.17777186 0.83114718
 0.00233646 0.13507201 0.00271703 0.14959796]",0.2736333372072491,"[-0.11066153 -0.17869948 -0.15023107 -0.0876144  -0.10642952  0.14995136
 -0.14814417 -0.20737288 -0.20425755 -0.17926593]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.002941842900750619, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08188400678018157,-4.75938407468257
5,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.72471741e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29286032 0.2290499  0.03961822 0.0290844  0.17507063 0.83125139
 0.00226433 0.13300644 0.00262062 0.14719465]",0.26908190570665536,"[-0.15956402 -0.22743692 -0.19943991 -0.13730018 -0.15625285  0.19881524
 -0.1934355  -0.25719383 -0.25340232 -0.22907833]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.736849739697471
6,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.72471741e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29266803 0.22891065 0.03717423 0.0283822  0.17243017 0.83135009
 0.00219599 0.13098598 0.00252927 0.14484295]",0.2646451378288696,"[-0.20791622 -0.27552729 -0.24826484 -0.18684295 -0.20599653  0.24711924
 -0.23583195 -0.3069339  -0.30213641 -0.27880586]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.714901731324988
7,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.72471741e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29248192 0.22877558 0.03479479 0.02770127 0.16985184 0.83144318
 0.00213152 0.12901195 0.00244306 0.14254432]",0.26032526954452667,"[-0.25559125 -0.32281247 -0.29662482 -0.23621782 -0.25564709  0.29474133
 -0.27436536 -0.35657933 -0.35037641 -0.328434  ]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.693533452847363
8,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.72471741e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29230213 0.22864478 0.03248176 0.02704169 0.1673367  0.8315306
 0.00207096 0.12708549 0.00236206 0.14029998]",0.2561240259475718,"[-0.30245419 -0.36912121 -0.34443603 -0.28540053 -0.30519153  0.34155514
 -0.30800365 -0.40611684 -0.39803772 -0.3779487 ]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.672736982960678
9,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.72471741e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29212877 0.22851834 0.03023683 0.02640348 0.16488554 0.83161232
 0.00201433 0.12520755 0.0022863  0.13811094]",0.2520426015839664,"[-0.34836261 -0.41426958 -0.39161218 -0.33436761 -0.35461738  0.38743116
 -0.33577098 -0.45553364 -0.44503528 -0.42733641]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.652503096512161
10,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.72471741e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29196192 0.22839632 0.02806149 0.02578653 0.16249883 0.83168838
 0.00196161 0.12337885 0.00221576 0.13597792]",0.24808163489874147,"[-0.39316723 -0.45806171 -0.43806497 -0.38309642 -0.40391272  0.43223804
 -0.35689549 -0.50481754 -0.49128426 -0.47658417]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.632821309268023
