iteration,expert feature,trajectory feature,feature norm,weights,cal_expert_idx,expert likeness,mean expert likeness,likelihood
11,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11046672 0.25784616 0.03293713 0.0272945  0.1689956  0.83209838
 0.00200328 0.02622602 0.00182844 0.05750195]",0.18434331785044988,"[-0.43797514 -0.51279769 -0.49068542 -0.43362153 -0.45430343  0.46216244
 -0.33114946  0.54519852 -0.52762701 -0.5269118 ]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  50,  65]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.659377311414992
12,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11026843 0.25747696 0.03136894 0.02688399 0.16745533 0.83217264
 0.00194123 0.02599313 0.00175933 0.05695476]",0.18242665533896546,"[-0.48120514 -0.55789008 -0.53754696 -0.4824014  -0.5036561   0.50059722
 -0.32950865  0.59593669 -0.56970662 -0.57619183]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  50,  65]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.643968039459752
13,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11008623 0.25712873 0.02983135 0.02648565 0.16595259 0.83223885
 0.00188591 0.02576575 0.00169767 0.05642033]",0.18056627002905987,"[-0.52331769 -0.60215767 -0.5838173  -0.53098122 -0.55290446  0.53698563
 -0.3212424   0.6467822  -0.61045157 -0.62535396]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.628827398744196
14,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.10991843 0.25679977 0.02832651 0.02609912 0.16448657 0.83229797
 0.00183652 0.02554387 0.0016426  0.05589856]",0.17876119125991558,"[-0.56424696 -0.64554602 -0.62944228 -0.57934882 -0.60204261  0.57119313
 -0.30709163  0.69773843 -0.64977979 -0.6743911 ]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.613948902757122
15,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.10976352 0.25648855 0.02685633 0.02572409 0.16305645 0.83235086
 0.00179234 0.02532745 0.00159331 0.05538931]",0.17701035990971797,"[-0.60393157 -0.68800286 -0.67436794 -0.62749278 -0.65106503  0.60309962
 -0.28781887  0.74880802 -0.68761531 -0.72329661]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.599326145409267
16,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.10962018 0.25619372 0.02542245 0.0253602  0.16166145 0.83239826
 0.00175276 0.02511648 0.00154911 0.05489246]",0.17531264645126962,"[-0.64231457 -0.72947821 -0.71854083 -0.67540236 -0.69996666  0.63260119
 -0.26415094  0.79999296 -0.72388858 -0.77206428]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.584952761220049
17,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.10948726 0.25591413 0.02402631 0.02500716 0.16030074 0.83244082
 0.00171722 0.02491092 0.00150942 0.05440787]",0.173666859337728,"[-0.67934345 -0.76992444 -0.76190829 -0.72306753 -0.7487428   0.65961177
 -0.23675289  0.85129456 -0.75853677 -0.82068838]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.570822381468142
18,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.10936379 0.25564877 0.02266907 0.02466465 0.15897356 0.8324791
 0.00168527 0.02471074 0.0014737  0.05393539]",0.17207174846085058,"[-0.71497025 -0.8092964  -0.80441877 -0.77047901 -0.79738918  0.68406443
 -0.20622121  0.90271349 -0.79150417 -0.86916359]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.556928599763398
19,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.1092489  0.25539678 0.02135175 0.02433237 0.15767909 0.83251356
 0.0016565  0.02451588 0.00144151 0.05347486]",0.1705260071707325,"[-0.74915164 -0.84755152 -0.84602212 -0.8176282  -0.84590194  0.70591241
 -0.17308737  0.95424982 -0.82274256 -0.9174851 ]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.543264951344819
20,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.10914187 0.25515741 0.02007513 0.02401    0.15641653 0.83254463
 0.00163057 0.0243263  0.00141248 0.05302611]",0.16902827477294616,"[-0.78184903 -0.88465    -0.88666984 -0.86450722 -0.8942776   0.72512966
 -0.13782572  1.00590305 -0.8522115  -0.9656485 ]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.529824905552397
