iteration,expert feature,trajectory feature,feature norm,weights,cal_expert_idx,expert likeness,mean expert likeness,likelihood
1,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29362558 0.22963902 0.04993377 0.03211435 0.18657566 0.83080289
 0.00257203 0.14425435 0.00303316 0.15873992]",0.29040823536955535,"[ 0.03820263 -0.02999213 -0.0010631   0.06204466  0.0433779   0.00113609
 -0.00249554 -0.05756786 -0.05516093 -0.02947007]","[array([ 0, 11, 88]), array([ 0, 11, 88]), array([ 0, 11, 88]), array([ 0, 66, 88]), array([  0, 110,  99]), array([  0, 110,  99]), array([  0, 110,  99]), array([ 0, 66, 88]), array([  0, 110,  99]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([10,  0, 66]), array([10,  0, 66])]","[0.6499165278699922, 0.6441087224092825, 0.6367448370372815, 0.6379629385284052, 0.6173507134914951, 0.6050792565066544, 0.5929912136980761, 0.5781943805153114, 0.5651721152614925, 0.5473583543669273, 0.5282185562340185, 0.5069193651178651, 0.4842310564269683, 0.4530964440580449, 0.41620230430523447]",0.5642364523884698,-4.831531556037108
2,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29341216 0.22948518 0.04726928 0.0313382  0.18374445 0.83092272
 0.00248918 0.14210659 0.00292257 0.15622364]",0.28560340421008756,"[-0.0116706  -0.07985115 -0.05097035  0.01208353 -0.00660017  0.05100484
 -0.05208082 -0.1075462  -0.10505958 -0.07944702]","[array([ 0, 44, 99]), array([ 0, 44, 99]), array([ 0, 44, 99]), array([  0, 110,  99]), array([31, 32, 21]), array([20, 32,  9]), array([32, 31, 21]), array([32, 31,  9]), array([32, 31,  9]), array([32, 31,  9]), array([32, 31,  9]), array([31, 21,  9]), array([31, 21,  9]), array([20, 21,  9]), array([40, 19, 53])]","[0.6499165278699922, 0.6441087224092825, 0.6367448370372815, 0.6379629385284052, 0.4696669516049111, 0.4651725857788273, 0.46157577415091183, 0.4560508028414641, 0.4442930490873296, 0.4395823267255241, 0.4278554646587611, 0.41466515472215804, 0.4012564732168879, 0.38243626435476746, 0.24656375029016686]",0.4785234415517781,-4.813184957978413
3,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29320408 0.22933493 0.04465862 0.03058202 0.18096848 0.83103733
 0.0024099  0.13999808 0.00281674 0.15375316]",0.2809028024583681,"[-0.06132185 -0.12946096 -0.10071793 -0.03781279 -0.05654185  0.10064552
 -0.1008583  -0.15748858 -0.15478439 -0.12938565]","[array([ 60, 106,  84]), array([ 60, 106,  84]), array([ 60, 106,  84]), array([ 60, 108,  49]), array([60, 27, 71]), array([64, 28, 50]), array([64, 28, 50]), array([65, 74, 39]), array([64, 28, 50]), array([65, 74, 87]), array([65, 74, 87]), array([65, 74, 87]), array([65, 74, 87]), array([65, 74, 87]), array([64, 75, 87])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.1591786228151745, 0.16018136226591861, 0.16062276417889787, 0.15702391267229152, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.1031002491914461,-4.79542652052062
4,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29300156 0.22918843 0.04210458 0.0298462  0.17824978 0.83114663
 0.00233426 0.13793064 0.00271576 0.1513305 ]",0.2763100287758181,"[-0.11064751 -0.17870168 -0.15023521 -0.08761855 -0.10643294  0.14995443
 -0.14831992 -0.2073809  -0.20425953 -0.17927089]","[array([ 60, 107,  86]), array([ 60, 107,  86]), array([ 60, 107,  86]), array([60, 97, 96]), array([ 60, 106,  83]), array([60, 27, 71]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.15702391267229152, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.09295506451031131,-4.7782519397929315
5,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29280478 0.2290458  0.03960974 0.02913105 0.17559013 0.83125055
 0.00226231 0.13590591 0.0026197  0.1489575 ]",0.2718282060035104,"[-0.15953534 -0.22744119 -0.19944799 -0.13730824 -0.15625948  0.19882129
 -0.19382288 -0.25720929 -0.25340614 -0.22908792]","[array([ 60, 106,  83]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([60, 97, 96]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([75, 65, 62]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.15702391267229152, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.09295506451031131,-4.761655615087574
6,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29261392 0.22890717 0.03717645 0.0284368  0.17299105 0.83134899
 0.00219411 0.13392535 0.00252864 0.14663577]",0.26745997347659445,"[-0.20786441 -0.27553457 -0.24827877 -0.1868568  -0.20600789  0.24712968
 -0.23658107 -0.30696025 -0.30214287 -0.27882224]","[array([ 60, 106,  83]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([60, 97, 96]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 64, 62]), array([75, 65, 62]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([64, 28, 50]), array([75, 64, 62])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.15702391267229152, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.09295506451031131,-4.745630663768359
7,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29242912 0.22877266 0.03480682 0.02776362 0.17045383 0.8314419
 0.00212972 0.13199026 0.00244266 0.14436674]",0.2632074800575577,"[-0.25550511 -0.32282382 -0.2966469  -0.23623969 -0.25566499  0.29475779
 -0.27568173 -0.35662063 -0.35038639 -0.32845976]","[array([ 60, 106,  83]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([60, 97, 96]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 64, 62]), array([75, 65, 62]), array([64, 28, 50]), array([64, 28, 50]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.15702391267229152, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.09295506451031131,-4.730168938267097
8,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29225052 0.22864237 0.03250273 0.02711159 0.16797946 0.83152921
 0.00206919 0.13010174 0.00236182 0.14215158]",0.2590723743276558,"[-0.30231944 -0.36913781 -0.34446894 -0.28543303 -0.3052181   0.34157936
 -0.31014245 -0.40617777 -0.39805209 -0.37798681]","[array([ 60, 106,  83]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([60, 97, 96]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 64, 62]), array([75, 65, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.15702391267229152, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.09295506451031131,-4.71526104591337
9,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29207823 0.22851639 0.03026588 0.02648069 0.1655687  0.8316109
 0.00201253 0.12826071 0.00228615 0.13999127]",0.2550557889467451,"[-0.34816139 -0.41429264 -0.39165902 -0.33441371 -0.35465502  0.38746485
 -0.33901451 -0.4556195  -0.44505481 -0.42739027]","[array([ 60, 106,  83]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([60, 97, 96]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 64, 62]), array([ 60, 106,  83]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.014068360393677377, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.0834246943584037,-4.7008963769442165
10,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29191233 0.22839477 0.02809778 0.02587083 0.16322196 0.831687
 0.00195973 0.12646788 0.00221562 0.13788651]",0.25115831987661236,"[-0.39287766 -0.45809239 -0.43812921 -0.3831595  -0.40396415  0.43228278
 -0.36151579 -0.5049342  -0.49130955 -0.47665758]","[array([ 60, 106,  83]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([60, 97, 96]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 64, 62]), array([ 60, 106,  83]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.014068360393677377, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.0834246943584037,-4.687063152050099
11,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29175285 0.22827757 0.02599977 0.02528184 0.16093935 0.83175764
 0.00191071 0.12472374 0.00215013 0.13583776]",0.24738000784725261,"[-0.43630864 -0.50033063 -0.48379005 -0.4316491  -0.45313449  0.47590109
 -0.37715084 -0.55411089 -0.53673218 -0.5257768 ]","[array([ 60, 106,  83]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([60, 97, 96]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 64, 62]), array([ 60, 106,  83]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.014068360393677377, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.0834246943584037,-4.673748503618038
12,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.2915998  0.22816481 0.02397307 0.02471342 0.15872066 0.83182301
 0.00186533 0.12302859 0.00208949 0.1338452 ]",0.24372033485078534,"[-0.47828961 -0.54079238 -0.52855107 -0.47986224 -0.50215567  0.51818852
 -0.38577145 -0.6031392  -0.58124001 -0.57473663]","[array([ 60, 106,  83]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([60, 97, 96]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 64, 62]), array([ 60, 106,  83]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.014068360393677377, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.0834246943584037,-4.66093859824231
13,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29145313 0.22805648 0.02201876 0.02416521 0.15656534 0.83188343
 0.00182338 0.12138249 0.00203343 0.13190878]",0.24017824623999828,"[-0.51865234 -0.57925701 -0.57232142 -0.52777975 -0.55101799  0.55901592
 -0.38755862 -0.65200945 -0.62475227 -0.62352649]","[array([ 60, 106,  83]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([60, 97, 96]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 64, 62]), array([ 60, 106,  83]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.014068360393677377, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.0834246943584037,-4.648618792202702
14,"[ 2.89728073e-01  2.26750583e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  1.70215969e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[0.29131275 0.22795259 0.02013771 0.02363676 0.1544726  0.83193924
 0.00178462 0.11978532 0.00198163 0.13002818]",0.23675219857256488,"[-0.55722696 -0.6155018  -0.61501053 -0.5753836  -0.59971242  0.59825753
 -0.38294537 -0.70071266 -0.66719045 -0.67213649]","[array([ 60, 106,  83]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([60, 97, 96]), array([ 60, 106,  83]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 64, 62]), array([ 60, 106,  83]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62]), array([75, 64, 62])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.008450207651295996, 0.004054327464644138, 0.00700085259815278, 0.16018136226591861, 0.16062276417889787, 0.014068360393677377, 0.15903386687863957, 0.15632144458272876, 0.15155145762158898, 0.14847391360675347, 0.14390810513760177, 0.13770375097026624]",0.0834246943584037,-4.636773797452404
