iteration,expert feature,trajectory feature,feature norm,weights,cal_expert_idx,expert likeness,mean expert likeness,likelihood
1,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.00172472 0.         0.         0.        ]","[0.29368797 0.22964616 0.04999389 0.03210132 0.18622301 0.83080231
 0.00257496 0.1415233  0.00303571 0.15709986]",0.288025262028187,"[ 0.03820263 -0.02999213 -0.0010631   0.06204466  0.0433779   0.00113609
 -0.00249554 -0.05756786 -0.05516093 -0.02947007]","[array([ 0, 11, 88]), array([ 0, 11, 88]), array([ 0, 11, 88]), array([ 0, 11, 88]), array([  0, 110,  99]), array([  0, 110,  99]), array([  0, 110,  99]), array([  0, 110,  99]), array([  0, 110,  99]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([10,  0, 66]), array([10,  0, 66])]","[0.6499165278699922, 0.6441087224092825, 0.6366960778682945, 0.632677067158548, 0.6182457376033098, 0.6050584771185878, 0.5929524558590276, 0.5783860980847495, 0.5682027744237241, 0.5476132929070512, 0.5281983833367926, 0.5069086888721567, 0.48423068814598375, 0.4530862552148013, 0.4182658501518284]",0.5643031398016087,-4.830550935846928
2,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.00172472 0.         0.         0.        ]","[0.29347267 0.22949149 0.04731518 0.03131653 0.18335003 0.83092255
 0.00249184 0.13933222 0.00292466 0.15455255]",0.28314866372909914,"[-0.01167204 -0.0798509  -0.05096977  0.012084   -0.0065998   0.0510045
 -0.05206547 -0.10754528 -0.10505935 -0.07944645]","[array([ 0, 44, 99]), array([ 0, 44, 99]), array([ 0, 44, 99]), array([ 0, 33, 99]), array([31, 32, 21]), array([20, 32,  9]), array([32, 31, 21]), array([32, 31,  9]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([19, 40, 41])]","[0.6499165278699922, 0.6441087224092825, 0.6366960778682945, 0.632677067158548, 0.4687576514421663, 0.4651940845796904, 0.46161737147823567, 0.45583991139347835, 0.44095147848202076, 0.439290709101739, 0.4278785500926969, 0.4146772286549654, 0.4012568894956963, 0.38244777808363595, 0.24419957561633515]",0.4777006415817851,-4.806231427975509
3,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.00172472 0.         0.         0.        ]","[0.29326283 0.22934045 0.04469116 0.03055185 0.18053228 0.83103753
 0.00241231 0.13718117 0.0028184  0.15205122]",0.2783770660812662,"[-0.06132744 -0.12946004 -0.10071576 -0.03781106 -0.05654049  0.10064425
 -0.10079362 -0.1574852  -0.15478356 -0.12938356]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 65, 62]), array([75, 87, 65]), array([121,  72,  96]), array([75, 64, 51]), array([75, 64, 51]), array([75, 76, 74]), array([75, 76, 74]), array([75, 76, 74]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.002941842900750619, 0.0031217095788454515, 0.15920028992544918, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.09202915621194059,-4.7825099998733505
4,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.00172472 0.         0.         0.        ]","[0.29305865 0.22919321 0.04212465 0.0298077  0.17777186 0.83114718
 0.00233646 0.13507202 0.00271703 0.14959797]",0.27371417725417474,"[-0.11066154 -0.17869948 -0.15022997 -0.0876144  -0.10642967  0.14995135
 -0.14814417 -0.20737288 -0.20425755 -0.17926593]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.002941842900750619, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08188400678018157,-4.759384081951151
5,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.00172472 0.         0.         0.        ]","[0.29286032 0.2290499  0.03961824 0.0290844  0.17507063 0.83125139
 0.00226433 0.13300645 0.00262062 0.14719466]",0.26916322282567196,"[-0.15956402 -0.22743692 -0.19943773 -0.13730018 -0.15625315  0.19881524
 -0.19343549 -0.25719383 -0.25340232 -0.22907833]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.73684975609027
6,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.00172472 0.         0.         0.        ]","[0.29266803 0.22891065 0.03717428 0.02838221 0.17243018 0.83135009
 0.00219599 0.130986   0.00252927 0.14484296]",0.26472693769666517,"[-0.20791623 -0.2755273  -0.248261   -0.18684295 -0.20599703  0.24711923
 -0.23583192 -0.3069339  -0.3021364  -0.27880586]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.714901761175043
7,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.00172472 0.         0.         0.        ]","[0.29248192 0.22877558 0.03479486 0.02770128 0.16985186 0.83144318
 0.00213152 0.12901198 0.00244306 0.14254434]",0.26040755803845206,"[-0.25559126 -0.32281248 -0.29661861 -0.23621782 -0.25564788  0.29474131
 -0.27436529 -0.35657934 -0.3503764  -0.328434  ]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.693533500461387
8,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.00172472 0.         0.         0.        ]","[0.29230214 0.22864478 0.03248188 0.0270417  0.16733673 0.83153061
 0.00207095 0.12708553 0.00236205 0.14030002]",0.2562068090628672,"[-0.30245422 -0.36912125 -0.34442655 -0.28540054 -0.3051927   0.34155511
 -0.30800349 -0.40611684 -0.39803771 -0.3779487 ]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.67273705211134
9,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.00172472 0.         0.         0.        ]","[0.29212878 0.22851835 0.03023701 0.02640349 0.16488559 0.83161233
 0.00201432 0.12520762 0.0022863  0.138111  ]",0.25212588532146163,"[-0.34836266 -0.41426965 -0.39159839 -0.33436761 -0.35461903  0.38743111
 -0.33577069 -0.45553364 -0.44503524 -0.42733641]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.652503189867868
10,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.00172472 0.         0.         0.        ]","[0.29196193 0.22839634 0.02806175 0.02578655 0.1624989  0.83168839
 0.0019616  0.12337895 0.00221575 0.13597801]",0.24816542512103892,"[-0.39316733 -0.45806184 -0.43804563 -0.38309644 -0.40391496  0.43223795
 -0.356895   -0.50481755 -0.4912842  -0.47658418]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.632821427769714
